,Unnamed: 0,PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
120,120,121,0,21.0,2,0,73.5,1,0,0,0,1,0,1,0,1,0
121,121,122,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
122,122,123,0,32.5,1,0,30.0708,1,0,1,0,0,0,1,0,1,0
123,123,124,1,32.5,0,0,13.0,0,1,0,0,1,1,0,0,1,0
124,124,125,0,54.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0
125,125,126,1,12.0,1,0,11.2417,1,0,1,0,0,0,1,0,0,1
126,126,127,0,35.29582429902352,0,0,7.75,1,0,0,1,0,0,1,0,0,1
127,127,128,1,24.0,0,0,7.1417,1,0,0,0,1,0,1,0,0,1
128,128,129,1,25.78337698412699,1,1,22.3583,0,1,1,0,0,1,0,0,0,1
129,129,130,0,45.0,0,0,6.975,1,0,0,0,1,0,1,0,0,1
130,130,131,0,33.0,0,0,7.8958,1,0,1,0,0,0,1,0,0,1
131,131,132,0,20.0,0,0,7.05,1,0,0,0,1,0,1,0,0,1
132,132,133,0,47.0,1,0,14.5,1,0,0,0,1,1,0,0,0,1
133,133,134,1,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0
134,134,135,0,25.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
135,135,136,0,23.0,0,0,15.0458,1,0,1,0,0,0,1,0,1,0
136,136,137,1,19.0,0,2,26.2833,0,1,0,0,1,1,0,1,0,0
137,137,138,0,37.0,1,0,53.1,0,1,0,0,1,0,1,1,0,0
138,138,139,0,16.0,0,0,9.2167,1,0,0,0,1,0,1,0,0,1
139,139,140,0,24.0,0,0,79.2,0,1,1,0,0,0,1,1,0,0
140,140,141,0,25.34409583333333,0,2,15.2458,1,0,1,0,0,1,0,0,0,1
141,141,142,1,22.0,0,0,7.75,1,0,0,0,1,1,0,0,0,1
142,142,143,1,24.0,1,0,15.85,1,0,0,0,1,1,0,0,0,1
143,143,144,0,19.0,0,0,6.75,1,0,0,1,0,0,1,0,0,1
144,144,145,0,18.0,0,0,11.5,1,0,0,0,1,0,1,0,1,0
145,145,146,0,19.0,1,1,36.75,1,0,0,0,1,0,1,0,1,0
146,146,147,1,27.0,0,0,7.7958,1,0,0,0,1,0,1,0,0,1
147,147,148,0,9.0,2,2,34.375,1,0,0,0,1,1,0,0,0,1
148,148,149,0,36.5,0,2,26.0,0,1,0,0,1,0,1,0,1,0
149,149,150,0,42.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
150,150,151,0,51.0,0,0,12.525,1,0,0,0,1,0,1,0,1,0
151,151,152,1,22.0,1,0,66.6,0,1,0,0,1,1,0,1,0,0
152,152,153,0,55.5,0,0,8.05,1,0,0,0,1,0,1,0,0,1
153,153,154,0,40.5,0,2,14.5,1,0,0,0,1,0,1,0,0,1
154,154,155,0,29.782796129800037,0,0,7.3125,1,0,0,0,1,0,1,0,0,1
155,155,156,0,51.0,0,1,61.3792,1,0,1,0,0,0,1,1,0,0
156,156,157,1,16.0,0,0,7.7333,1,0,0,1,0,1,0,0,0,1
157,157,158,0,30.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
158,158,159,0,25.523403343773122,0,0,8.6625,1,0,0,0,1,0,1,0,0,1
159,159,160,0,10.869866956654468,8,2,69.55,1,0,0,0,1,0,1,0,0,1
160,160,161,0,44.0,0,1,16.1,1,0,0,0,1,0,1,0,0,1
161,161,162,1,40.0,0,0,15.75,1,0,0,0,1,1,0,0,1,0
162,162,163,0,26.0,0,0,7.775,1,0,0,0,1,0,1,0,0,1
163,163,164,0,17.0,0,0,8.6625,1,0,0,0,1,0,1,0,0,1
164,164,165,0,1.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1
165,165,166,1,9.0,0,2,20.525,1,0,0,0,1,0,1,0,0,1
166,166,167,1,26.03188214285713,0,1,55.0,0,1,0,0,1,1,0,1,0,0
167,167,168,0,45.0,1,4,27.9,1,0,0,0,1,1,0,0,0,1
168,168,169,0,49.554275595238074,0,0,25.925,1,0,0,0,1,0,1,1,0,0
169,169,170,0,28.0,0,0,56.4958,1,0,0,0,1,0,1,0,0,1
170,170,171,0,61.0,0,0,33.5,0,1,0,0,1,0,1,1,0,0
171,171,172,0,4.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1
172,172,173,1,1.0,1,1,11.1333,1,0,0,0,1,1,0,0,0,1
173,173,174,0,21.0,0,0,7.925,1,0,0,0,1,0,1,0,0,1
174,174,175,0,56.0,0,0,30.6958,0,1,1,0,0,0,1,1,0,0
175,175,176,0,18.0,1,1,7.8542,1,0,0,0,1,0,1,0,0,1
176,176,177,0,7.309547041847048,3,1,25.4667,1,0,0,0,1,0,1,0,0,1
177,177,178,0,50.0,0,0,28.7125,0,1,1,0,0,1,0,1,0,0
178,178,179,0,30.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
179,179,180,0,36.0,0,0,0.0,1,0,0,0,1,0,1,0,0,1
180,180,181,0,10.869866956654468,8,2,69.55,1,0,0,0,1,1,0,0,0,1
181,181,182,0,31.718940476190475,0,0,15.05,1,0,1,0,0,0,1,0,1,0
182,182,183,0,9.0,4,2,31.3875,1,0,0,0,1,0,1,0,0,1
183,183,184,1,1.0,2,1,39.0,0,1,0,0,1,0,1,0,1,0
184,184,185,1,4.0,0,2,22.025,1,0,0,0,1,1,0,0,0,1
185,185,186,0,46.249768235930794,0,0,50.0,0,1,0,0,1,0,1,1,0,0
186,186,187,1,33.12898535353537,1,0,15.5,1,0,0,1,0,1,0,0,0,1
187,187,188,1,45.0,0,0,26.55,1,0,0,0,1,0,1,1,0,0
188,188,189,0,40.0,1,1,15.5,1,0,0,1,0,0,1,0,0,1
189,189,190,0,36.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
190,190,191,1,32.0,0,0,13.0,1,0,0,0,1,1,0,0,1,0
191,191,192,0,19.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
192,192,193,1,19.0,1,0,7.8542,1,0,0,0,1,1,0,0,0,1
193,193,194,1,3.0,1,1,26.0,0,1,0,0,1,0,1,0,1,0
194,194,195,1,44.0,0,0,27.7208,0,1,1,0,0,1,0,1,0,0
195,195,196,1,58.0,0,0,146.5208,0,1,1,0,0,1,0,1,0,0
196,196,197,0,35.29582429902352,0,0,7.75,1,0,0,1,0,0,1,0,0,1
197,197,198,0,42.0,0,1,8.4042,1,0,0,0,1,0,1,0,0,1
198,198,199,1,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
199,199,200,0,24.0,0,0,13.0,1,0,0,0,1,1,0,0,1,0
200,200,201,0,28.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1
201,201,202,0,10.869866956654468,8,2,69.55,1,0,0,0,1,0,1,0,0,1
202,202,203,0,34.0,0,0,6.4958,1,0,0,0,1,0,1,0,0,1
203,203,204,0,45.5,0,0,7.225,1,0,1,0,0,0,1,0,0,1
204,204,205,1,18.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
205,205,206,0,2.0,0,1,10.4625,0,1,0,0,1,1,0,0,0,1
206,206,207,0,32.0,1,0,15.85,1,0,0,0,1,0,1,0,0,1
207,207,208,1,26.0,0,0,18.7875,1,0,1,0,0,0,1,0,0,1
208,208,209,1,16.0,0,0,7.75,1,0,0,1,0,1,0,0,0,1
209,209,210,1,40.0,0,0,31.0,0,1,1,0,0,0,1,1,0,0
210,210,211,0,24.0,0,0,7.05,1,0,0,0,1,0,1,0,0,1
211,211,212,1,35.0,0,0,21.0,1,0,0,0,1,1,0,0,1,0
212,212,213,0,22.0,0,0,7.25,1,0,0,0,1,0,1,0,0,1
213,213,214,0,30.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
214,214,215,0,31.09342985049901,1,0,7.75,1,0,0,1,0,0,1,0,0,1
215,215,216,1,31.0,1,0,113.275,0,1,1,0,0,1,0,1,0,0
216,216,217,1,27.0,0,0,7.925,1,0,0,0,1,1,0,0,0,1
217,217,218,0,42.0,1,0,27.0,1,0,0,0,1,0,1,0,1,0
218,218,219,1,32.0,0,0,76.2917,0,1,1,0,0,1,0,1,0,0
219,219,220,0,30.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
220,220,221,1,16.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
221,221,222,0,27.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
222,222,223,0,51.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
223,223,224,0,27.94720616293084,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
224,224,225,1,38.0,1,0,90.0,0,1,0,0,1,0,1,1,0,0
225,225,226,0,22.0,0,0,9.35,1,0,0,0,1,0,1,0,0,1
226,226,227,1,19.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
227,227,228,0,20.5,0,0,7.25,1,0,0,0,1,0,1,0,0,1
228,228,229,0,18.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
229,229,230,0,7.309547041847048,3,1,25.4667,1,0,0,0,1,1,0,0,0,1
230,230,231,1,35.0,1,0,83.475,0,1,0,0,1,1,0,1,0,0
231,231,232,0,29.0,0,0,7.775,1,0,0,0,1,0,1,0,0,1
232,232,233,0,59.0,0,0,13.5,1,0,0,0,1,0,1,0,1,0
233,233,234,1,5.0,4,2,31.3875,1,0,0,0,1,1,0,0,0,1
234,234,235,0,24.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
235,235,236,0,31.108384523809534,0,0,7.55,1,0,0,0,1,1,0,0,0,1
236,236,237,0,44.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0
237,237,238,1,8.0,0,2,26.25,1,0,0,0,1,1,0,0,1,0
238,238,239,0,19.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
239,239,240,0,33.0,0,0,12.275,1,0,0,0,1,0,1,0,1,0
240,240,241,0,20.800154130591647,1,0,14.4542,1,0,1,0,0,1,0,0,0,1
241,241,242,1,33.12898535353537,1,0,15.5,1,0,0,1,0,1,0,0,0,1
242,242,243,0,29.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
243,243,244,0,22.0,0,0,7.125,1,0,0,0,1,0,1,0,0,1
244,244,245,0,30.0,0,0,7.225,1,0,1,0,0,0,1,0,0,1
245,245,246,0,44.0,2,0,90.0,0,1,0,1,0,0,1,1,0,0
246,246,247,0,25.0,0,0,7.775,1,0,0,0,1,1,0,0,0,1
247,247,248,1,24.0,0,2,14.5,1,0,0,0,1,1,0,0,1,0
248,248,249,1,37.0,1,1,52.5542,0,1,0,0,1,0,1,1,0,0
249,249,250,0,54.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0
250,250,251,0,29.782796129800037,0,0,7.25,1,0,0,0,1,0,1,0,0,1
251,251,252,0,29.0,1,1,10.4625,0,1,0,0,1,1,0,0,0,1
252,252,253,0,62.0,0,0,26.55,0,1,0,0,1,0,1,1,0,0
253,253,254,0,30.0,1,0,16.1,1,0,0,0,1,0,1,0,0,1
254,254,255,0,41.0,0,2,20.2125,1,0,0,0,1,1,0,0,0,1
255,255,256,1,29.0,0,2,15.2458,1,0,1,0,0,1,0,0,0,1
256,256,257,1,34.620285714285735,0,0,79.2,1,0,1,0,0,1,0,1,0,0
257,257,258,1,30.0,0,0,86.5,0,1,0,0,1,1,0,1,0,0
258,258,259,1,35.0,0,0,512.3292,1,0,1,0,0,1,0,1,0,0
259,259,260,1,50.0,0,1,26.0,1,0,0,0,1,1,0,0,1,0
260,260,261,0,35.29582429902352,0,0,7.75,1,0,0,1,0,0,1,0,0,1
261,261,262,1,3.0,4,2,31.3875,1,0,0,0,1,0,1,0,0,1
262,262,263,0,52.0,1,1,79.65,0,1,0,0,1,0,1,1,0,0
263,263,264,0,40.0,0,0,0.0,0,1,0,0,1,0,1,1,0,0
264,264,265,0,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
265,265,266,0,36.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
266,266,267,0,16.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1
267,267,268,1,25.0,1,0,7.775,1,0,0,0,1,0,1,0,0,1
268,268,269,1,58.0,0,1,153.4625,0,1,0,0,1,1,0,1,0,0
269,269,270,1,35.0,0,0,135.6333,0,1,0,0,1,1,0,1,0,0
270,270,271,0,36.87489821428567,0,0,31.0,1,0,0,0,1,0,1,1,0,0
271,271,272,1,25.0,0,0,0.0,1,0,0,0,1,0,1,0,0,1
272,272,273,1,41.0,0,1,19.5,1,0,0,0,1,1,0,0,1,0
273,273,274,0,37.0,0,1,29.7,0,1,1,0,0,0,1,1,0,0
274,274,275,1,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
275,275,276,1,63.0,1,0,77.9583,0,1,0,0,1,1,0,1,0,0
276,276,277,0,45.0,0,0,7.75,1,0,0,0,1,1,0,0,0,1
277,277,278,0,35.05181756856166,0,0,0.0,1,0,0,0,1,0,1,0,1,0
278,278,279,0,7.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1
279,279,280,1,35.0,1,1,20.25,1,0,0,0,1,1,0,0,0,1
280,280,281,0,65.0,0,0,7.75,1,0,0,1,0,0,1,0,0,1
281,281,282,0,28.0,0,0,7.8542,1,0,0,0,1,0,1,0,0,1
282,282,283,0,16.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1
283,283,284,1,19.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
284,284,285,0,57.74249226190476,0,0,26.0,0,1,0,0,1,0,1,1,0,0
285,285,286,0,33.0,0,0,8.6625,1,0,1,0,0,0,1,0,0,1
286,286,287,1,30.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1
287,287,288,0,22.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
288,288,289,1,42.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0
289,289,290,1,22.0,0,0,7.75,1,0,0,1,0,1,0,0,0,1
290,290,291,1,26.0,0,0,78.85,1,0,0,0,1,1,0,1,0,0
291,291,292,1,19.0,1,0,91.0792,0,1,1,0,0,1,0,1,0,0
292,292,293,0,36.0,0,0,12.875,0,1,1,0,0,0,1,0,1,0
293,293,294,0,24.0,0,0,8.85,1,0,0,0,1,1,0,0,0,1
294,294,295,0,24.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
295,295,296,0,41.200088477638616,0,0,27.7208,1,0,1,0,0,0,1,1,0,0
296,296,297,0,23.5,0,0,7.2292,1,0,1,0,0,0,1,0,0,1
297,297,298,0,2.0,1,2,151.55,0,1,0,0,1,1,0,1,0,0
298,298,299,1,41.57487718253972,0,0,30.5,0,1,0,0,1,0,1,1,0,0
299,299,300,1,50.0,0,1,247.5208,0,1,1,0,0,1,0,1,0,0
300,300,301,1,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
301,301,302,1,23.31368333333333,2,0,23.25,1,0,0,1,0,0,1,0,0,1
302,302,303,0,19.0,0,0,0.0,1,0,0,0,1,0,1,0,0,1
303,303,304,1,42.574515536153044,0,0,12.35,0,1,0,1,0,1,0,0,1,0
304,304,305,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
305,305,306,1,0.92,1,2,151.55,0,1,0,0,1,0,1,1,0,0
306,306,307,1,28.57888392857143,0,0,110.8833,1,0,1,0,0,1,0,1,0,0
307,307,308,1,17.0,1,0,108.9,0,1,1,0,0,1,0,1,0,0
308,308,309,0,30.0,1,0,24.0,1,0,1,0,0,0,1,0,1,0
309,309,310,1,30.0,0,0,56.9292,0,1,1,0,0,1,0,1,0,0
310,310,311,1,24.0,0,0,83.1583,0,1,1,0,0,1,0,1,0,0
311,311,312,1,18.0,2,2,262.375,0,1,1,0,0,1,0,1,0,0
312,312,313,0,26.0,1,1,26.0,1,0,0,0,1,1,0,0,1,0
313,313,314,0,28.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
314,314,315,0,43.0,1,1,26.25,1,0,0,0,1,0,1,0,1,0
315,315,316,1,26.0,0,0,7.8542,1,0,0,0,1,1,0,0,0,1
316,316,317,1,24.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0
317,317,318,0,54.0,0,0,14.0,1,0,0,0,1,0,1,0,1,0
318,318,319,1,31.0,0,2,164.8667,0,1,0,0,1,1,0,1,0,0
319,319,320,1,40.0,1,1,134.5,0,1,1,0,0,1,0,1,0,0
320,320,321,0,22.0,0,0,7.25,1,0,0,0,1,0,1,0,0,1
321,321,322,0,27.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
322,322,323,1,30.0,0,0,12.35,1,0,0,1,0,1,0,0,1,0
323,323,324,1,22.0,1,1,29.0,1,0,0,0,1,1,0,0,1,0
324,324,325,0,10.869866956654468,8,2,69.55,1,0,0,0,1,0,1,0,0,1
325,325,326,1,36.0,0,0,135.6333,0,1,1,0,0,1,0,1,0,0
326,326,327,0,61.0,0,0,6.2375,1,0,0,0,1,0,1,0,0,1
327,327,328,1,36.0,0,0,13.0,0,1,0,0,1,1,0,0,1,0
328,328,329,1,31.0,1,1,20.525,1,0,0,0,1,1,0,0,0,1
329,329,330,1,16.0,0,1,57.9792,0,1,1,0,0,1,0,1,0,0
330,330,331,1,23.31368333333333,2,0,23.25,1,0,0,1,0,1,0,0,0,1
331,331,332,0,45.5,0,0,28.5,0,1,0,0,1,0,1,1,0,0
332,332,333,0,38.0,0,1,153.4625,0,1,0,0,1,0,1,1,0,0
333,333,334,0,16.0,2,0,18.0,1,0,0,0,1,0,1,0,0,1
334,334,335,1,31.42587793650797,1,0,133.65,1,0,0,0,1,1,0,1,0,0
